X_lat,Y_lon,Z_depth
484650.5122,4407088.3719999995,0.0
484650.5332,4407088.953,0.0
484650.5327,4407088.704,0.0
484650.981,4407088.703,0.0
484650.7894,4407088.952,0.0
484652.2158,4407089.467,0.0
484650.5122,4407088.3719999995,0.0
484652.2158,4407089.467,0.0
484652.3208,4407089.535,0.0
484652.3916,4407089.531,0.0
484652.2158,4407089.467,0.0
484652.3208,4407089.535,0.0
484614.5461,4407091.683,0.0
484608.4633,4407092.359,0.0
484596.3599,4407092.799,0.0
484559.9796,4407091.045,0.0
484544.4861,4407093.568,0.0
484504.9835,4407099.71,0.0
484466.4458,4407107.926,0.0
486612.4359,4408913.112,0.0
486606.5239,4408900.915,0.0
486580.3811,4408889.915,0.0
486551.2981,4408881.994,0.0
486535.2617,4408865.33,0.0
486527.6678,4408843.502,0.0
486509.7703,4408824.516,0.0
486482.0802,4408807.79,0.0
486440.9085,4408807.281,0.0
486410.9422,4408807.002,0.0
486370.5421,4408808.32,0.0
486366.636,4408808.161,0.0
486364.0752,4408808.331,0.0
486353.4483,4408809.43,0.0
486340.8269,4408805.217,0.0
486281.9503,4408786.388,0.0
486250.4195,4408770.666,0.0
486228.5094,4408763.978,0.0
486211.7811,4408754.79,0.0
486203.5923,4408758.708000001,0.0
486191.1379,4408776.087,0.0
486169.8846,4408778.617,0.0
486152.9044,4408771.755,0.0
486124.4454,4408755.28,0.0
486113.4985,4408756.463,0.0
486085.2249,4408736.416999999,0.0
486066.1978,4408730.804,0.0
486038.8605,4408697.636,0.0
486000.6748,4408684.666999999,0.0
485935.0974,4408679.057,0.0
485913.0137,4408682.752,0.0
485871.5986,4408689.555,0.0
485838.4404,4408694.682,0.0
485808.6455,4408717.99,0.0
485777.6233,4408735.404,0.0
485763.3601,4408743.735,0.0
485749.7915,4408746.833000001,0.0
485739.8167,4408754.243,0.0
485723.8496,4408775.865,0.0
485708.0051,4408794.58,0.0
485673.5734,4408837.413,0.0
485647.6869,4408861.545,0.0
485606.2095,4408902.647,0.0
485572.8032,4408911.43,0.0
485566.4606,4408909.449,0.0
485515.8495,4408894.347,0.0
485464.8589,4408881.821,0.0
485441.4846,4408879.789,0.0
485417.6081,4408883.073,0.0
485384.4111,4408900.825,0.0
485361.2175,4408926.365,0.0
485347.1274,4408924.316000001,0.0
485339.2415,4408918.85,0.0
485339.7892,4408903.983,0.0
485353.6921,4408875.057,0.0
485373.7547,4408852.845,0.0
485392.0271,4408831.966,0.0
485417.229,4408818.547,0.0
485456.7058,4408803.109,0.0
485483.1396,4408797.66,0.0
485512.3243,4408790.961,0.0
485543.7913,4408772.133,0.0
485558.6899,4408761.393,0.0
485572.3731,4408751.235,0.0
485595.6521,4408736.409,0.0
485622.9585,4408718.088,0.0
485648.9834,4408699.27,0.0
485654.5444,4408694.1110000005,0.0
485664.9003,4408685.04,0.0
485674.5413,4408670.322,0.0
485694.0354,4408651.435,0.0
485704.7117,4408642.446,0.0
485737.8938,4408615.726,0.0
485759.5573,4408592.598999999,0.0
485797.0243,4408562.799,0.0
485826.766,4408545.055,0.0
485839.8035,4408531.577,0.0
485853.4465,4408499.2469999995,0.0
485852.6431,4408480.313999999,0.0
485847.484,4408460.558999999,0.0
485844.8617,4408427.511,0.0
485844.8285,4408409.573,0.0
485862.7044,4408380.723,0.0
485859.28,4408364.121,0.0
485859.3793,4408348.591,0.0
485847.7565,4408330.84,0.0
485834.3888,4408304.4569999995,0.0
485824.893,4408259.712,0.0
485810.8187,4408232.25,0.0
485809.2104,4408228.267,0.0
485807.4109,4408224.699,0.0
485804.2015,4408220.553,0.0
485783.0169,4408191.858,0.0
485778.3898,4408182.898,0.0
485763.8623,4408152.945,0.0
485745.8356,4408135.29,0.0
485708.3344,4408113.436000001,0.0
485660.0188,4408095.755,0.0
